order_item_id,order_id,product_id,product_name,quantity,item_price,dt
1,2001,301,Keyboard,1,250.50,2026-07-01
2,2001,302,Mouse,2,500.00,2026-07-01
3,2002,303,Monitor,1,3200.00,2026-07-01
4,2003,304,Book,3,263.66,2026-07-01
5,2004,301,Keyboard,1,1250.50,2026-07-01
6,2005,305,USB Cable,2,225.00,2026-07-01
7,2006,306,Headphones,1,1999.90,2026-07-01
8,2007,307,Laptop,1,8750.00,2026-07-01
9,2008,305,USB Cable,1,150.75,2026-07-01
10,2009,303,Monitor,1,4320.40,2026-07-01
11,2010,302,Mouse,2,499.50,2026-07-01
12,2011,306,Headphones,1,2450.25,2026-07-01
13,2012,303,Monitor,1,3200.00,2026-07-01
