order_id,user_id,status,amount,created_at,dt
1001,501,created,1250.50,2026-06-23 09:15:00,2026-06-23
1002,502,paid,3200.00,2026-06-23 09:20:00,2026-06-23
1003,503,paid,790.99,2026-06-23 09:45:00,2026-06-23
1004,501,shipped,1250.50,2026-06-23 10:05:00,2026-06-23
1005,504,cancelled,450.00,2026-06-23 10:20:00,2026-06-23
1006,505,created,1999.90,2026-06-23 10:35:00,2026-06-23
1007,506,paid,8750.00,2026-06-23 11:00:00,2026-06-23
1008,507,paid,150.75,2026-06-23 11:10:00,2026-06-23
1009,508,shipped,4320.40,2026-06-23 11:25:00,2026-06-23
1010,509,created,999.00,2026-06-23 11:50:00,2026-06-23
1011,510,paid,2490.30,2026-06-23 12:05:00,2026-06-23
1012,502,refunded,3200.00,2026-06-23 12:30:00,2026-06-23
1013,511,paid,110.00,2026-06-23 12:45:00,2026-06-23
1014,512,shipped,5600.25,2026-06-23 13:10:00,2026-06-23
1015,513,created,740.00,2026-06-23 13:40:00,2026-06-23
