order_id,user_id,status,amount,created_at,dt
2001,701,created,1250.50,2026-07-01 09:15:00,2026-07-01
2002,702,paid,3200.00,2026-07-01 09:20:00,2026-07-01
2003,703,paid,790.99,2026-07-01 09:45:00,2026-07-01
2004,701,shipped,1250.50,2026-07-01 10:05:00,2026-07-01
2005,704,cancelled,450.00,2026-07-01 10:20:00,2026-07-01
2006,705,created,1999.90,2026-07-01 10:35:00,2026-07-01
2007,706,paid,8750.00,2026-07-01 11:00:00,2026-07-01
2008,707,paid,150.75,2026-07-01 11:10:00,2026-07-01
2009,708,shipped,4320.40,2026-07-01 11:25:00,2026-07-01
2010,709,created,999.00,2026-07-01 11:50:00,2026-07-01
2011,710,paid,2450.25,2026-07-01 12:05:00,2026-07-01
2012,702,shipped,3200.00,2026-07-01 12:30:00,2026-07-01
